frame,track id,x,y,w,h,gender
59,0,457,51,46,126,female
60,0,453,51,45,127,female
61,0,450,52,41,126,female
62,0,446,50,43,125,female
63,0,444,48,41,127,female
70,0,415,50,51,123,female
154,1,487,134,41,153,female
158,1,487,134,41,152,female
159,1,487,134,41,152,female
160,1,487,135,41,151,female
161,1,487,135,41,151,female
162,1,487,135,41,151,female
163,1,487,136,41,150,female
164,1,487,136,41,150,female
165,1,487,135,41,151,female
166,1,487,134,41,151,female
167,1,487,133,41,153,female
168,1,487,133,41,153,female
169,1,487,133,41,153,female
170,1,487,132,41,154,female
173,1,487,131,41,155,female
515,6,726,18,36,122,female
516,6,725,18,37,123,female
517,6,724,18,37,123,female
518,6,724,18,38,125,female
519,6,722,18,39,124,female
520,6,723,18,38,124,female
521,6,722,18,39,123,female
522,6,721,19,39,122,female
523,6,721,19,40,121,female
524,6,721,19,40,120,female
525,6,721,19,40,121,female
526,6,723,19,37,122,female
527,6,723,19,37,123,female
528,6,723,19,37,122,female
529,6,723,19,37,124,female
530,6,722,20,37,122,female
531,6,722,20,37,123,female
532,6,722,20,37,123,female
533,6,721,20,38,123,female
534,6,721,20,38,122,female
535,6,721,20,38,122,female
536,6,720,20,39,122,female
537,6,720,20,39,122,female
538,6,720,20,39,122,female
539,6,720,20,39,122,female
540,6,720,20,39,122,female
541,6,721,21,38,122,female
542,6,722,20,37,123,female
543,6,721,20,38,123,female
544,6,721,21,38,123,female
545,6,721,20,38,124,female
546,6,721,20,37,123,female
547,6,721,20,37,123,female
548,6,722,20,36,122,female
549,6,721,20,37,122,female
550,6,721,19,37,123,female
551,6,721,22,36,118,female
552,6,721,21,35,119,female
553,6,719,22,37,117,female
554,6,718,22,37,117,female
555,6,717,23,37,116,female
556,6,713,22,40,116,female
557,6,712,23,38,115,female
558,6,706,23,44,113,female
559,6,705,22,44,113,female
560,6,703,22,45,112,female
569,6,680,15,35,122,female
570,6,678,16,35,119,female
571,6,675,16,36,119,female
572,6,671,18,38,115,female
573,6,667,19,42,116,female
574,6,664,17,44,118,female
584,6,645,18,31,112,female
587,6,641,20,31,115,female
588,6,638,19,32,111,female
589,6,636,22,35,108,female
626,7,454,38,38,106,
627,7,454,38,38,109,
628,7,454,37,35,103,
629,7,452,38,37,101,
630,7,450,37,36,104,
631,7,450,37,35,105,
632,6,528,23,37,107,female
632,7,447,37,37,104,
633,7,445,38,38,103,
634,7,445,36,35,104,
635,6,523,23,33,109,female
637,7,439,32,38,111,
648,6,492,29,42,108,female
648,7,426,38,38,101,
649,6,492,29,37,107,female
649,7,424,36,39,103,
650,6,492,26,35,108,female
650,7,419,30,39,110,
651,6,490,25,35,110,female
651,7,417,35,38,103,
652,6,489,27,35,108,female
652,7,416,31,38,108,
653,6,489,30,32,105,female
653,7,414,34,38,105,
656,7,408,28,40,111,
669,6,453,25,38,101,female
670,6,451,24,40,105,female
671,6,450,25,38,105,female
672,6,448,24,40,106,female
675,6,442,24,41,106,female
676,6,444,25,43,103,female
677,6,443,24,41,105,female
681,9,602,64,49,130,female
692,6,421,27,38,102,female
694,6,419,26,38,101,female
700,10,486,128,42,153,female
705,9,534,58,41,131,female
706,9,532,58,40,129,female
707,9,530,56,41,129,female
708,9,528,58,44,126,female
709,9,526,63,48,128,female
710,9,524,60,46,128,female
711,9,524,58,40,125,female
712,9,526,50,44,136,female
713,9,529,43,50,142,female
714,9,530,43,44,135,female
715,9,530,41,43,128,female
715,10,486,114,47,166,female
716,9,526,42,43,119,female
716,10,485,120,47,161,female
717,9,525,43,43,112,female
717,10,486,120,47,161,female
718,9,523,40,46,124,female
719,9,520,40,45,114,female
720,9,521,39,42,116,female
721,9,521,39,40,114,female
721,10,486,111,47,173,female
722,9,520,40,39,111,female
722,10,486,114,47,169,female
723,9,516,38,42,118,female
723,10,486,116,47,166,female
724,9,513,39,45,118,female
724,10,485,107,48,175,female
725,10,486,119,47,164,female
726,10,485,99,49,182,female
727,10,485,115,47,167,female
728,10,485,118,47,165,female
729,10,485,112,46,170,female
732,9,499,38,42,102,female
733,9,500,40,41,96,female
734,9,499,40,41,97,female
735,9,499,40,38,96,female
736,9,498,38,40,100,female
737,9,498,38,38,101,female
738,9,496,37,39,110,female
739,9,496,39,38,106,female
739,10,482,111,48,170,female
740,9,493,38,39,112,female
740,10,483,107,49,172,female
741,9,490,37,41,114,female
741,10,481,107,51,173,female
742,9,490,37,39,116,female
742,10,484,112,48,167,female
743,9,490,37,35,109,female
744,9,485,36,41,117,female
745,9,486,38,38,111,female
746,9,484,38,38,107,female
747,9,483,36,39,109,female
748,9,481,36,41,108,female
762,9,456,41,40,113,female
767,9,455,40,35,104,female
768,9,454,39,33,101,female
769,9,451,40,34,100,female
770,9,451,40,36,101,female
771,9,452,40,35,100,female
772,9,452,40,35,100,female
773,9,448,40,36,100,female
774,9,446,42,34,98,female
775,9,445,41,36,101,female
788,9,421,37,38,107,female
789,9,418,37,40,107,female
790,9,416,35,41,109,female
791,9,415,35,41,104,female
857,12,643,49,61,140,female
858,12,642,51,59,137,female
859,12,640,49,60,135,female
860,12,638,50,60,132,female
861,12,637,50,58,128,female
862,12,636,52,55,125,female
863,12,635,51,52,127,female
864,10,486,121,42,165,female
864,12,633,50,53,128,female
865,12,631,50,52,131,female
866,12,628,49,50,133,female
867,12,628,49,45,127,female
868,12,625,49,47,129,female
869,12,624,49,45,128,female
875,12,604,49,51,126,female
876,12,602,48,54,132,female
877,12,600,48,53,129,female
878,12,596,49,54,129,female
879,12,596,51,53,126,female
880,12,595,52,48,125,female
881,12,593,55,51,143,female
882,12,592,54,52,166,female
883,12,592,55,53,169,female
884,12,591,50,54,165,female
885,12,592,49,53,167,female
886,12,593,50,51,167,female
887,12,593,50,50,165,female
888,12,593,51,48,159,female
889,12,593,51,47,172,female
963,13,524,40,44,131,
964,13,525,42,42,127,
965,10,485,121,46,163,female
966,10,484,121,48,163,female
967,10,485,110,49,170,female
968,10,486,88,51,191,female
969,10,485,85,50,194,female
970,10,486,86,48,194,female
971,10,485,115,45,166,female
972,10,485,109,47,171,female
973,10,486,119,45,163,female
974,10,486,120,45,162,female
976,10,485,96,46,184,female
977,10,484,94,46,186,female
978,10,484,98,46,182,female
979,10,482,100,48,182,female
980,10,485,109,45,175,female
981,10,487,114,43,170,female
982,10,488,110,41,172,female
983,10,488,113,41,169,female
984,10,488,114,41,167,female
985,10,488,109,43,172,female
986,10,488,84,47,194,female
987,10,490,106,45,172,female
988,10,489,113,45,168,female
989,10,488,104,46,176,female
990,10,486,113,46,168,female
991,10,488,109,44,173,female
992,10,489,112,42,170,female
993,10,490,121,40,162,female
994,10,489,125,41,159,female
1142,10,486,125,42,156,female
1143,10,486,125,42,156,female
1144,10,486,125,42,156,female
1145,10,486,125,42,156,female
1147,10,486,125,42,156,female
1148,10,486,125,42,157,female
1149,10,486,126,42,156,female
1150,10,486,126,42,155,female
1193,10,486,131,41,154,female
1194,10,486,131,41,154,female
1195,10,486,131,41,155,female
1197,10,486,131,41,155,female
1326,10,486,137,41,147,female
1327,10,486,137,41,147,female
1328,10,486,136,41,148,female
1329,10,486,136,41,148,female
1330,10,486,136,41,148,female
1331,10,486,136,41,148,female
1332,10,486,135,41,149,female
1333,10,486,135,41,149,female
1334,10,486,136,41,148,female
1335,10,486,136,41,148,female
1336,10,486,136,41,148,female
1337,10,486,136,41,148,female
1338,10,486,136,41,147,female
1339,10,486,136,41,148,female
1340,10,486,135,41,149,female
1341,10,486,135,41,149,female
1342,10,486,135,41,149,female
1343,10,486,136,41,148,female
1344,10,486,135,41,149,female
1345,10,486,135,41,149,female
1346,10,486,136,41,148,female
1347,10,486,136,41,148,female
1348,10,486,136,41,148,female
1349,10,486,136,41,148,female
1350,10,486,136,41,148,female
1493,10,487,133,40,150,female
1497,10,488,131,39,152,female
1498,10,487,130,40,153,female
1499,10,487,131,40,153,female
1500,10,487,131,40,153,female
1584,10,487,131,40,154,female
1586,10,487,131,40,154,female
1587,10,487,131,40,154,female
1588,10,487,131,40,154,female
1589,10,487,132,40,153,female
1590,10,487,132,40,153,female
1591,10,487,132,40,153,female
1592,10,487,132,40,153,female
1593,10,487,132,40,153,female
1594,10,487,132,40,153,female
1595,10,487,132,40,153,female
1596,10,487,132,40,153,female
1597,10,487,132,40,153,female
1598,10,487,132,40,153,female
1599,10,487,132,40,153,female
1773,18,496,37,45,113,female
1774,18,496,39,44,110,female
1775,18,491,41,45,104,female
1776,18,486,39,48,109,female
1777,18,484,41,46,104,female
1778,18,484,40,43,107,female
1779,18,482,39,42,106,female
1789,18,443,41,52,117,female
1790,18,439,42,55,118,female
1791,18,438,43,54,118,female
1792,18,439,45,50,116,female
1793,18,436,46,51,114,female
1799,18,419,42,39,121,female
1800,18,417,42,42,119,female
1801,18,413,42,42,124,female
1802,18,408,42,49,122,female
1803,18,410,45,45,117,female
1804,18,409,49,48,115,female
1823,19,486,128,41,156,female
1824,19,486,128,41,156,female
1825,19,486,124,40,161,female
1953,20,447,437,77,144,
1961,20,447,431,72,157,
1962,20,447,431,72,152,
1966,19,485,136,43,147,female
1971,19,485,136,42,147,female
1972,19,485,136,41,146,female
1975,19,485,136,42,147,female
2052,19,487,130,41,155,female
2053,19,487,131,41,154,female
2055,19,487,129,41,156,female
2056,19,487,130,41,155,female
2057,19,487,131,41,153,female
2058,19,487,131,41,153,female
2059,19,487,131,41,154,female
2060,19,487,130,41,154,female
2061,19,487,130,41,154,female
2062,19,487,130,41,154,female
2063,19,487,131,41,154,female
2064,19,488,131,40,153,female
2065,19,487,132,41,152,female
2066,19,487,132,41,152,female
2067,19,487,132,41,152,female
2068,19,487,132,41,152,female
2069,19,487,132,41,152,female
2070,19,487,131,41,153,female
2071,19,487,132,41,152,female
2072,19,487,131,41,153,female
2073,19,487,131,41,153,female
2074,19,487,131,41,153,female
2075,19,487,130,41,154,female
2301,22,413,373,81,231,female
2302,22,413,374,81,232,female
2303,22,413,374,81,232,female
2304,22,414,374,80,233,female
2305,22,414,373,81,234,female
2306,22,414,374,81,232,female
2308,22,415,374,80,231,female
2337,23,521,233,41,113,female
2338,23,521,235,40,110,female
2339,23,521,235,40,108,female
2340,22,419,378,76,178,female
2340,23,520,234,41,110,female
2341,22,419,376,76,176,female
2342,22,419,374,77,176,female
2342,23,521,235,41,109,female
2343,22,418,375,81,179,female
2344,22,417,377,82,178,female
2345,22,417,375,82,180,female
2350,23,522,233,40,111,female
2353,23,519,230,47,111,female
2354,23,518,231,47,108,female
2355,23,519,231,46,110,female
2356,23,520,231,46,106,female
2357,23,521,228,46,111,female
2358,23,521,228,47,111,female
2359,23,524,229,45,109,female
2360,23,524,229,46,110,female
2361,23,524,226,49,110,female
2362,23,524,225,50,110,female
2363,23,525,225,51,110,female
2364,23,526,226,51,107,female
2365,23,533,225,45,107,female
2366,23,534,223,46,111,female
2372,22,421,372,91,230,female
2375,22,434,365,85,235,female
2376,22,439,366,80,229,female
2377,22,436,363,84,234,female
2378,22,434,361,85,235,female
2379,22,433,361,87,232,female
2380,22,437,358,86,232,female
2381,22,438,355,86,225,female
2382,22,437,351,89,229,female
2383,22,437,351,88,231,female
2384,22,437,349,89,243,female
2385,22,437,347,90,263,female
2386,22,438,345,90,250,female
2387,22,439,342,90,268,female
2388,22,442,341,88,254,female
2389,22,444,341,89,246,female
2390,22,443,339,91,258,female
2391,22,449,334,87,234,female
2392,22,452,333,88,230,female
2393,22,452,328,91,234,female
2394,22,453,322,91,239,female
2395,22,451,319,96,239,female
2396,22,453,319,97,236,female
2397,22,456,315,94,227,female
2398,22,459,312,94,211,female
2399,22,465,307,92,226,female
2400,22,469,303,90,224,female
2401,22,471,301,90,227,female
2402,22,476,298,88,219,female
2403,22,472,295,92,218,female
2404,22,473,297,92,219,female
2405,22,476,296,94,213,female
2406,22,480,297,90,209,female
2407,22,485,282,81,227,female
2408,22,487,277,76,219,female
2409,22,491,282,77,223,female
2410,22,493,280,76,224,female
2410,24,488,121,41,140,female
2411,22,496,278,77,231,female
2412,22,501,273,74,236,female
2413,22,510,254,69,251,female
2414,22,513,251,73,243,female
2415,22,514,245,73,236,female
2415,24,488,118,42,148,female
2416,22,519,213,72,261,female
2416,26,521,71,47,149,female
2417,22,521,202,72,268,female
2417,26,522,71,46,148,female
2418,22,522,224,72,241,female
2418,26,521,72,46,147,female
2419,22,521,233,75,231,female
2419,26,521,71,46,146,female
2420,22,519,243,79,219,female
2420,24,487,110,45,163,female
2420,26,521,72,48,146,female
2421,24,487,108,46,165,female
2421,26,519,71,48,145,female
2422,22,521,240,81,216,female
2422,24,487,109,46,162,female
2422,26,518,72,49,143,female
2423,22,530,250,82,248,female
2423,26,518,72,50,144,female
2424,22,526,238,83,234,female
2424,24,488,120,43,145,female
2424,26,518,73,48,140,female
2425,22,536,247,83,265,female
2425,24,489,110,45,160,female
2425,26,519,72,46,143,female
2426,22,538,244,82,282,female
2426,26,516,73,52,145,female
2427,22,543,242,78,279,female
2427,26,519,72,48,144,female
2428,22,543,239,78,293,female
2428,26,518,70,47,146,female
2429,22,545,237,81,302,female
2429,26,515,71,51,151,female
2430,22,555,253,85,299,female
2461,26,450,100,45,130,female
2462,26,449,97,44,141,female
2463,26,446,98,47,148,female
2464,26,442,98,47,139,female
2465,26,439,99,48,135,female
2466,26,438,100,50,141,female
2467,26,436,102,51,142,female
2468,26,435,105,54,140,female
2469,26,435,107,54,134,female
2476,26,415,116,57,146,female
2477,24,487,134,44,150,female
2477,26,413,117,61,143,female
2479,24,487,135,44,161,female
2480,24,485,135,45,150,female
2480,26,408,121,61,144,female
2481,24,485,136,45,153,female
2481,26,406,122,60,148,female
2482,24,484,136,45,152,female
2482,26,406,122,57,153,female
2483,24,484,135,44,153,female
2483,26,409,125,52,155,female
2484,24,484,136,45,150,female
2484,26,404,132,54,131,female
2485,24,484,136,45,145,female
2485,26,404,138,52,127,female
2486,24,485,134,44,149,female
2486,26,405,138,50,132,female
2519,30,559,43,38,81,female
